Date,Open,High,Low,Close,Adj Close,Volume
2003-07-08,47.900002,48.189999,46.849998,48.029999,29.673349,3648400
2003-07-09,47.919998,48.340000,47.599998,47.889999,29.586863,1966100
2003-07-10,47.799999,48.650002,47.509998,48.650002,30.056393,2553900
2003-07-11,49.020000,49.500000,48.740002,49.380001,30.507383,2404500
2003-07-14,49.980000,49.990002,48.509998,48.650002,30.056393,1608100
2003-07-15,48.549999,49.610001,48.500000,49.299999,30.457975,2230300
2003-07-16,49.279999,50.349998,49.279999,50.090000,30.946045,2414100
2003-07-17,50.200001,50.810001,49.779999,50.220001,31.026360,2482100
2003-07-18,50.750000,52.080002,50.599998,52.049999,32.156944,2674000
2003-07-21,52.750000,52.790001,51.279999,52.299999,32.311394,2620300
2003-07-22,52.299999,53.599998,51.400002,53.400002,32.990982,3648600
2003-07-23,53.389999,53.700001,52.619999,53.380001,32.978622,1609600
2003-07-24,54.980000,55.000000,51.549999,51.549999,31.848043,4096100
2003-07-25,51.849998,53.049999,51.400002,53.000000,32.743855,3049000
2003-07-28,53.570000,54.200001,53.099998,53.459999,33.028049,3012500
2003-07-29,53.330002,53.720001,52.450001,52.549999,32.465847,1649900
2003-07-30,52.700001,53.099998,52.310001,52.450001,32.404060,1863500
2003-07-31,52.650002,53.000000,52.200001,52.340000,32.336098,1571500
2003-08-01,52.950001,52.950001,51.520000,51.520000,31.829502,1661700
2003-08-04,51.650002,52.349998,50.639999,51.700001,31.940701,1562600
2003-08-05,51.080002,51.290001,50.020000,50.169998,30.995457,2302200
2003-08-06,50.799999,51.799999,50.150002,50.900002,31.446463,1955400
2003-08-07,50.000000,50.439999,49.509998,49.700001,30.705091,6683800
2003-08-08,50.200001,50.689999,49.779999,50.590000,31.254934,3978400
2003-08-11,50.650002,50.980000,50.060001,50.580002,31.248762,1474400
2003-08-12,50.450001,51.110001,50.439999,50.980000,31.495882,1836200
2003-08-13,50.980000,51.299999,50.290001,50.389999,31.131374,1613100
2003-08-14,50.330002,50.669998,49.830002,50.490002,31.193167,2552300
2003-08-15,50.490002,50.680000,50.200001,50.610001,31.267298,567300
2003-08-18,50.599998,52.169998,50.599998,51.980000,32.113689,2176500
2003-08-19,52.480000,52.880001,51.130001,51.950001,32.095146,2080100
2003-08-20,51.950001,52.099998,50.900002,51.040001,31.532948,1539000
2003-08-21,51.150002,51.770000,50.080002,50.560001,31.236408,2184800
2003-08-22,50.759998,50.759998,49.799999,49.880001,30.816301,2272700
2003-08-25,49.650002,50.320000,49.400002,50.320000,31.088127,1490600
2003-08-26,51.099998,51.529999,50.290001,51.369999,31.736816,2168300
2003-08-27,51.240002,51.500000,50.389999,51.450001,31.786249,1727700
2003-08-28,50.549999,51.470001,50.500000,51.400002,31.829613,2397000
2003-08-29,51.400002,51.400002,50.790001,51.230000,31.724329,1262000
2003-09-02,51.099998,51.439999,50.799999,51.400002,31.829613,1412400
2003-09-03,51.490002,52.279999,51.459999,52.070000,32.244507,2553100
2003-09-04,52.220001,52.220001,51.259998,51.599998,31.953444,1898800
2003-09-05,51.279999,52.040001,51.259998,52.009998,32.207340,2115000
2003-09-08,51.759998,52.450001,51.759998,52.240002,32.349773,1540300
2003-09-09,52.250000,52.349998,51.770000,52.200001,32.325016,2110900
2003-09-10,51.950001,52.200001,50.910000,51.250000,31.736719,2069500
2003-09-11,51.330002,51.970001,51.040001,51.410000,31.835804,1818300
2003-09-12,51.580002,51.580002,50.770000,51.110001,31.650015,1409600
2003-09-15,51.020000,51.180000,50.759998,50.970001,31.563324,1879900
2003-09-16,50.000000,50.160000,49.549999,50.000000,30.962645,8760400
2003-09-17,50.000000,50.000000,49.580002,49.759998,30.814022,3740800
2003-09-18,49.750000,50.349998,49.549999,49.630001,30.733536,2510800
2003-09-19,49.400002,49.900002,48.150002,48.700001,30.157637,5422600
2003-09-22,48.500000,48.500000,47.520000,47.820000,29.612679,3081000
2003-09-23,46.619999,46.950001,45.799999,45.970001,28.467064,7642700
2003-09-24,45.970001,46.500000,45.049999,45.099998,27.928308,5153700
2003-09-25,44.099998,45.630001,44.090000,45.130001,27.946890,5440200
2003-09-26,45.500000,45.900002,44.779999,45.430000,28.132668,3326100
2003-09-29,45.930000,46.099998,45.599998,45.910000,28.429913,3281800
2003-09-30,46.139999,46.400002,45.160000,46.150002,28.578527,3039200
2003-10-01,46.099998,46.430000,45.029999,46.430000,28.751915,2194100
2003-10-02,46.349998,46.349998,45.349998,46.009998,28.491829,1897600
2003-10-03,46.560001,47.169998,45.650002,45.700001,28.299837,3041800
2003-10-06,45.700001,45.700001,45.270000,45.450001,28.145054,2228500
2003-10-07,45.450001,45.889999,44.779999,45.759998,28.337004,2928800
2003-10-08,45.759998,46.090000,45.340000,45.880001,28.411325,2925500
2003-10-09,46.099998,46.439999,45.500000,45.740002,28.324636,2267100
2003-10-10,45.740002,46.270000,45.740002,46.200001,28.609497,2473500
2003-10-13,46.259998,46.869999,46.259998,46.599998,28.857197,2116400
2003-10-14,46.599998,46.759998,45.810001,46.230000,28.628067,2751100
2003-10-15,46.230000,46.310001,45.770000,46.139999,28.572332,2462700
